N° d'horodateur;Alimentation;Modèle;Adresse;Arrondissement;Type de régime;Tarif du stationnement;Zone résidentielle;Tarif horaire;geo_shape;geo_point_2d
860102;SOLAIRE;ECA1;4   RUE AFFRE;18;MIX;Z2 MIX 6H 5U;18H;2.4;"{""type"": ""Point"", ""coordinates"": [2.355879999907652, 48.8853659993365]}";48.8853659993,2.35587999991
1140103;SOLAIRE;ECA1;19   RUE ALBERT;13;MIX;Z2 MIX 6H 5U;13S;2.4;"{""type"": ""Point"", ""coordinates"": [2.37269200008126, 48.82464899875625]}";48.8246489988,2.37269200008
1590202;PILE;ECM1;20   RUE ALEXANDRE PARODI;10;MIX;Z1 MIX 6H 5U;10F;4.0;"{""type"": ""Point"", ""coordinates"": [2.36486200006054, 48.880193998850054]}";48.8801939989,2.36486200006
1700101;PILE;ECM1;3   RUE ALFRED BRUNEAU;16;MIX;Z2 MIX 6H 5U;16P;2.4;"{""type"": ""Point"", ""coordinates"": [2.277025999915, 48.85573899924004]}";48.8557389992,2.27702599992
1790104;SOLAIRE;ECA1;14   RUE ALFRED DE VIGNY;8;MIX;Z1 MIX 6H 5U;8G;4.0;"{""type"": ""Point"", ""coordinates"": [2.30519900016576, 48.87912299883724]}";48.8791229988,2.30519900017
2721302;SOLAIRE;ECA1;128   RUE AMELOT;11;MIX;Z1 MIX 6H 5U;11G;4.0;"{""type"": ""Point"", ""coordinates"": [2.366870000519894, 48.86419499943079]}";48.8641949994,2.36687000052
2970105;SOLAIRE;ECA1;21   RUE AMPERE;17;MIX;Z2 MIX 6H 5U;17L;2.4;"{""type"": ""Point"", ""coordinates"": [2.304283999963843, 48.88512499928627]}";48.8851249993,2.30428399996
3180201;SOLAIRE;ECA1;19   QUAI ANDRE CITROEN;15;MIX;Z2 MIX 6H 5U;15M;2.4;"{""type"": ""Point"", ""coordinates"": [2.280085999358402, 48.84782399936868]}";48.8478239994,2.28008599936
3180301;SOLAIRE;ECA1;39   QUAI ANDRE CITROEN;15;MIX;Z2 MIX 6H 5U;15N;2.4;"{""type"": ""Point"", ""coordinates"": [2.278910000372325, 48.846966999398056]}";48.8469669994,2.27891000037
3510202;SOLAIRE;ECA1;20   RUE D ANJOU;8;MIX;Z1 MIX 6H 5U;8H;4.0;"{""type"": ""Point"", ""coordinates"": [2.321632000075624, 48.87094799937763]}";48.8709479994,2.32163200008
3510404;SOLAIRE;ECA1;50   RUE D ANJOU;8;MIX;Z1 MIX 6H 5U;8H;4.0;"{""type"": ""Point"", ""coordinates"": [2.322353999626446, 48.87296099865641]}";48.8729609987,2.32235399963
4150302;PILE;ECM1;40   RUE ARCHEREAU;19;MIX;Z2 MIX 6H 5U;19G;2.4;"{""type"": ""Point"", ""coordinates"": [2.374021999493174, 48.89118099910442]}";48.8911809991,2.37402199949
4270401;PILE;ECM1;31   RUE DES ARDENNES;19;MIX;Z2 MIX 6H 5U;19K;2.4;"{""type"": ""Point"", ""coordinates"": [2.385535849502634, 48.889380799489366]}";48.8893807995,2.3855358495
4270501;SOLAIRE;ECA1;34  vis-à-vis RUE DES ARDENNES;19;MIX;Z2 MIX 6H 5U;19K;2.4;"{""type"": ""Point"", ""coordinates"": [2.384794000364545, 48.89039499929059]}";48.8903949993,2.38479400036
4310104;SOLAIRE;ECA1;6   RUE D ARGENSON;8;MIX;Z1 MIX 6H 5U;8J;4.0;"{""type"": ""Point"", ""coordinates"": [2.316920000161387, 48.874767999494665]}";48.8747679995,2.31692000016
