idptar;nomptar;STIF;CodeINSEE;X;Y;coord;UFR;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;PAQT;Accessibilite Quai Train;IDAMIVIF
1725;Saint-Mandé;1001100010001;94007;606058;2427546;48.8462382158,2.41899982478;0;1;1;1;1;0;0;IDAMIVIF
1955;Gare de Lyon;1001100010001;75112;602713;2427468;48.8455597463,2.37344920163;0;1;1;1;1;0;0;IDAMIVIF
2062;Bastille;1001100010001;75104;602402;2428293;48.8529756339,2.36921882111;0;1;1;1;1;0;0;IDAMIVIF
1945;Franklin-Roosevelt;1001100010001;75108;598073;2430077;48.8690103872,2.31025317756;0;1;1;1;1;0;0;IDAMIVIF
1803;Pont de Neuilly;1001100010001;92051;594278;2431915;48.8855060687,2.25852746686;0;1;1;1;1;0;0;IDAMIVIF
1887;La Défense (Grande Arche);1001100010001;92062;592772;2432620;48.8918267141,2.23799203988;0;1;1;1;1;0;0;IDAMIVIF
2116;Bérault;1001100010001;94080;606737;2427450;48.8453687094,2.42824450629;0;1;1;1;1;0;0;IDAMIVIF
2383;Palais-Royal (Musée du Louvre);1001100010001;75101;600005;2429338;48.8623717808,2.3365735974;0;1;1;1;1;0;0;IDAMIVIF
2079;Couronnes;1001100020001;75111;603232;2430113;48.8693291287,2.38053636283;0;1;1;1;1;0;0;IDAMIVIF
1629;Villiers;1001100020001;75117;598539;2431447;48.8813242532,2.31659675818;0;1;1;1;1;0;0;IDAMIVIF
1736;Porte Dauphine (Maréchal de Lattre de Tassigny);1001100020001;75116;595476;2430388;48.8717921757,2.27486995786;0;1;1;1;1;0;0;IDAMIVIF
2394;Père-Lachaise;1001100020001;75111;603726;2429427;48.8631611643,2.38726039685;0;1;1;1;1;0;0;IDAMIVIF
2128;Couronnes;1001100020001;75111;603232;2430113;48.8693291287,2.38053636283;0;1;1;1;1;0;0;IDAMIVIF
2168;Colonel Fabien;1001100020001;75110;602471;2431098;48.878184941,2.3701745433;0;1;1;1;1;0;0;IDAMIVIF
2484;Stalingrad;1001100020001;75119;602240;2431766;48.8841892535,2.36703043864;0;1;1;1;1;0;0;IDAMIVIF
2401;Pigalle;1001100020001;75118;600055;2431569;48.8824224877,2.33725467877;0;1;1;1;1;0;0;IDAMIVIF
2509;Villiers;1001100020001;75117;598539;2431447;48.8813242532,2.31659675818;0;1;1;1;1;0;0;IDAMIVIF
2179;Courcelles;1001100020001;75108;597563;2431219;48.8792721109,2.30329854335;0;1;1;1;1;0;0;IDAMIVIF
2148;Charles de Gaulle-Etoile;1001100020001;75108;596929;2430632;48.8739938,2.29466395849;0;1;1;1;1;0;0;IDAMIVIF
