Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
7003;Square Boucicaut;60;48.8512964337,2.32506182045
7002;Vaneau - Sèvres;35;48.8485632331,2.32042182593
14108;Le Brix et Mesmin - Jourdan;21;48.8223409659,2.3278616533
31024;Romainville - Vaillant-Couturier;38;48.86785,2.446748
19033;Cambrai - Benjamin Constant;43;48.8959473685,2.38113380225
16118;Michel-Ange - Parent de Rosan;26;48.8405799237,2.25841194391
9001;Bellefond - Poissonnière;17;48.8775989705,2.34846375883
12031;Gabriel Lamé;36;48.8351212784,2.38553456962
31706;Château - République;26;48.8629238006,2.4155035615
45003;11 Novembre 1918 - 8 Mai 1945;36;48.8088953377,2.53824211657
41302;Charles de Gaulle - Beauté;49;48.8364960231,2.47956265115
15056;Place Balard;22;48.8363957364,2.27841921151
5004;Saint-Jacques - Val de Grâce;20;48.8417514,2.3413893
42021;Raspail - Manufacture des Oeillets;32;48.8094458,2.3903009
9014;Faubourg Montmartre - La Fayette;35;48.8752545491,2.3408536613
5012;Estrapade - Ulm;16;48.8451277283,2.34545681704
21701;Larmeroux - Baudelaire;30;48.8169399113,2.28098948048
7102;Mairie du 7ème;27;48.8577967,2.3192664
11004;Charonne - Faubourg Saint-Antoine;34;48.8521919097,2.37409327179
18201;Tristan Tzara -  Tchaïkovski;33;48.8949022175,2.36484903842
11009;Boulets - Voltaire;24;48.8521870562,2.38903015852
42029;Stalingrad - Germaine Tailleferre;28;48.8025720048,2.37866912037
6013;Jacques Callot - Mazarine;28;48.8552801753,2.3375743255
17045;Place des Ternes;46;48.8784386312,2.29772776365
41102;Gare de Laplace;43;48.8089319911,2.33494609594
14034;Ouest - Château;23;48.8361728601,2.31939214392
12029;Dugommier;55;48.8388110488,2.38965779543
5119;Jussieu - Guy de la Brosse;40;48.845665,2.355653
14104;Boyer-Barret - Raymond Losserand;23;48.8332988023,2.31733839959
20113;Piat - Parc de Belleville;21;48.8719562664,2.38498139028
15017;Place Falguière;23;48.8362997394,2.31044646353
11041;Square Saint-Ambroise;43;48.860934,2.375841
19038;Lassus - Delouvain;20;48.8755044846,2.38903273255
20118;Orteaux - Mouraud;24;48.8555864285,2.40876290776
18043;Clichy - Place Blanche;20;48.8836010883,2.33322378248
42703;Fontainebleau - Edmond Michelet;45;48.8095643684,2.36269086599
10114;Granges aux Belles - Hôpital Saint-Louis;60;48.8747949948,2.36666943698
8026;Messine - Place Du Pérou;12;48.875448034,2.31550801901
4013;Vieille du Temple - Francs Bourgeois;29;48.8582564134,2.35821794719
13114;Nationale - Marcel Duchamp;23;48.8246374934,2.36780148
14007;Ferrus - Saint-Jacques;34;48.8313878,2.3408563
19030;Melun - Jean Jaurès;28;48.8837796723,2.37647742033
18035;René Binet - Porte de Montmartre;37;48.8990510995,2.3365534097
